ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5462497,cell nuclei {sing. cell nucleus},細胞核,,,2019-10-31
5462498,cell nucleus {pl. cell nuclei},細胞核,,,2019-10-31
5462499,cell plate,細胞板,,,2019-10-31
5462500,cell processes,細胞突起,,,2019-10-31
5462501,cell recognition,細胞辨識,,,2019-10-31
5462502,cell theory,細胞學說,,,2019-10-31
5462503,cell wall,細胞壁,,,2019-10-31
5462504,cell-mediated immunity,細胞媒介[式]免疫,,,2019-10-31
5462505,cellular immune response,細胞免疫反應,,,2019-10-31
5462506,cellular respiration,細胞呼吸,,,2019-10-31
5462507,cellulase,纖維素酶,,,2019-10-31
5462508,cellulose,纖維素,,,2019-10-31
5462509,Cenozoic era,新生代,,,2019-10-31
5462510,center of origin,起源中心,,,2019-10-31
5462511,centimorgan,分摩根,,,2019-10-31
5462512,central canal,中央管,,,2019-10-31
5462513,central chemoreceptor,中樞化學受器,,,2019-10-31
5462514,central deafness,中樞型耳聾；中樞性耳聾,,,2019-10-31
5462515,central dogma of molecular biology,分子生物學的中心法則,,,2019-10-31
5462516,central nervous system {=CNS},中樞神經系統,,,2019-10-31
5462517,central vacuole,中央液泡；中央液胞,,20220719修訂,2022-07-19
5462518,centriole,中心粒,,,2019-10-31
5462519,centromere,中節,,,2019-10-31
5462520,centrosome,中心體,,,2019-10-31
5462521,cephalin,腦磷脂,,,2019-10-31
5462522,cephalization,頭化現象,,,2019-10-31
5462523,cephalopod,頭足類,,,2019-10-31
5462524,Cephalopoda,頭足綱,,,2019-10-31
5462525,cerebellar hemisphere,小腦半球,,,2019-10-31
5462526,cerebellum,小腦,,,2019-10-31
5462527,cerebral cortex,大腦皮層,,,2019-10-31
5462528,cerebral hemisphere,大腦半球,,,2019-10-31
5462529,cerebrospinal fluid,腦脊髓液,,,2019-10-31
5462530,cerebrovascular accident {=CVA},腦血管意外,,,2019-10-31
5462531,cerebrum,大腦,,,2019-10-31
5462532,cervical cancer,子宮頸癌,,,2019-10-31
5462533,cervix,子宮頸,,,2019-10-31
5462534,Cervus nippon taiouanus,臺灣梅花鹿,,,2019-10-31
5462535,chain reaction,連鎖反應,,,2019-10-31
5462536,channel protein,通道蛋白,,,2019-10-31
5462537,character,性狀 {遺傳}；特徵；形質 {生態},,,2019-10-31
5462538,Chargaff's rule,查加夫[氏]法則；夏蓋夫[氏]法則,,,2019-10-31
5462539,Charophycean,輪藻綱,,,2019-10-31
5462540,Chelonia mydas,綠蠵龜,,,2019-10-31
5462541,chemical carcinogen,化學致癌物,,,2019-10-31
5462542,chemical energy,化學能,,,2019-10-31
5462543,chemical oxygen demand {=COD},化學需氧量,,,2019-10-31
5462544,chemical receptor,化學受器,,,2019-10-31
5462545,chemical synapse,化學突觸,,,2019-10-31
5462546,chemical-gated ion channel,化學閘控[型]離子通道,,,2019-10-31
5462547,chemical-sensitive ion channel,化學敏感[型]離子通道,,,2019-10-31
5462548,chemiosmosis,化學滲透[作用],,,2019-10-31
5462549,chemiosmotic hypothesis,化學滲透假說,,,2019-10-31
5462550,chemoreceptor,化學受器,,,2019-10-31
5462551,chicken pox,水痘,,,2019-10-31
5462552,Chilopoda,唇足綱,,,2019-10-31
5462553,chimpanzee,黑猩猩,,,2019-10-31
5462554,chitin,幾丁質,,,2019-10-31
5462555,Chlamydia,披衣菌[屬],,,2019-10-31
5462556,chloramphenicol,氯黴素,,,2019-10-31
5462557,Chlorella,綠球藻[屬],,,2019-10-31
5462558,chlorofluorocarbon {=CFC},氟氯碳化物,,,2019-10-31
5462559,chlorophyll,葉綠素,,,2019-10-31
5462560,Chlorophyta,綠藻植物門,,,2019-10-31
5462561,chloroplast,葉綠體,,,2019-10-31
5462562,chloroplast DNA,葉綠體DNA,,,2019-10-31
5462563,cholecyst {gall bladder},膽囊,,,2019-10-31
5462564,cholecystokinin {=CCK},膽囊收縮素,,,2019-10-31
5462565,cholera,霍亂,,,2019-10-31
5462566,cholesterol,膽固醇,,,2019-10-31
5462567,chondrodystrophy {achondroplasia},軟骨發育不全[症],,,2019-10-31
5462568,Chordata,脊索動物門,,,2019-10-31
5462569,chorion,絨毛膜,,,2019-10-31
5462570,chorionic villus sampling {=CVS},絨毛膜取樣,,,2019-10-31
5462571,choroid,脈絡膜,,,2019-10-31
5462572,chromaffin cell,嗜鉻細胞,,,2019-10-31
5462573,chromatid,染色分體,,,2019-10-31
5462574,chromatin,染色質,,,2019-10-31
5462575,chromoplast,色質體,,,2019-10-31
5462576,chromosomal abnormality,染色體異常,,,2019-10-31
5462577,chromosomal crossover {crossing over},[染色體]互換,,,2019-10-31
5462578,chromosome,染色體,,,2019-10-31
5462580,chromosome map,染色體圖,,,2019-10-31
5462581,chromosome number,染色體數目,,,2019-10-31
5462582,chromosome puff,染色體膨部,,,2019-10-31
5462583,chromosome replication,染色體複製,,,2019-10-31
5462584,chromosome theory of inheritance,遺傳的染色體學說,,,2019-10-31
5462585,chylomicron,乳糜微粒,,,2019-10-31
5462586,chyme,食糜,,,2019-10-31
5462587,chymotrypsin,胰凝乳蛋白酶,,,2019-10-31
5462588,ciliary body,睫狀體,,,2019-10-31
5462589,ciliary muscle,睫狀肌,,,2019-10-31
5462590,ciliated cell,纖毛細胞,,,2019-10-31
5462591,ciliated columnar epithelium,纖毛柱狀上皮,,,2019-10-31
5462592,cilium {pl. cilia},纖毛,,,2019-10-31
5462593,cingulate gyrus,扣帶迴,,,2019-10-31
5462594,circulation,循環[作用],,,2019-10-31
5462595,cisterna {pl. cisternae},扁囊；內腔,,,2019-10-31
5462596,cisternae {sing. cisterna},扁囊；內腔,,,2019-10-31
5462597,citric acid cycle {Krebs cycle; tricarboxylic acid cycle; TCA cycle},檸檬酸循環；克氏循環；三羧酸循環,,,2019-10-31
5462598,class,綱 {分類階層},,,2019-10-31
5462599,classification,分類,,,2019-10-31
5462600,classification system,分類系統,,,2019-10-31
5462601,cleavage,分裂；卵裂,,,2019-10-31
5462602,cleavage furrow,分裂溝,,,2019-10-31
5462603,clonal selection,株系選擇,,,2019-10-31
5462604,clone,殖株 {名詞}；選殖 {動詞}；無性繁殖系,,,2019-10-31
5462605,cloned animal,複製動物,,,2019-10-31
5462606,cloning,選殖,,,2019-10-31
5462607,closed circulatory system,封閉[式]循環系統,,,2019-10-31
5462608,Clostridium,梭菌屬,,,2019-10-31
5462609,Clostridium botulinum,肉毒桿菌,,,2019-10-31
5462610,Cnidaria,刺[絲]胞動物門,,,2019-10-31
5462611,cnidarian,刺[絲]胞動物,,,2019-10-31
5462612,cnidoblast {cnidocyte},刺細胞,,,2019-10-31
5462613,cnidocyte {cnidoblast},刺細胞,,,2019-10-31
5462614,coagulase,凝固酶,,,2019-10-31
5462615,cocci {sing. coccus},球菌,,,2019-10-31
5462616,coccus {pl. cocci},球菌,,,2019-10-31
5462617,coccyx,尾[椎]骨,,,2019-10-31
5462618,cochlea,耳蝸,,,2019-10-31
5462619,cochlear nerve,耳蝸神經,,,2019-10-31
5462620,codominance,等顯性；共顯性,,,2019-10-31
5462621,codon,密碼子,,,2019-10-31
5462622,Coelenterata,腔腸動物門 {舊名},,,2019-10-31
5462623,coelom,真體腔,,,2019-10-31
5462624,coenzyme,輔酶,,,2019-10-31
5462625,coevolution,共同演化,,,2019-10-31
5462626,cofactor,輔因子,,,2019-10-31
5462627,cohesion,內聚[性],,,2019-10-31
5462628,cohesive force,內聚力,,,2019-10-31
5462629,cold receptor,冷[覺]受器,,,2019-10-31
5462630,coleoptile,芽鞘,,,2019-10-31
5462631,coleorhizae,根鞘,,,2019-10-31
5462632,collagen,膠原蛋白,,,2019-10-31
5462633,collagenase,膠原蛋白酶,,,2019-10-31
5462634,collecting duct,集尿管；集合管,,,2019-10-31
5462635,collecting tubule,集尿[小]管；集合[小]管,,,2019-10-31
5462636,collenchyma,厚角組織,,,2019-10-31
5462637,collenchyma cell,厚角細胞,,,2019-10-31
5462638,colloid,膠體,,,2019-10-31
5462639,colon,結腸,,,2019-10-31
5462640,colony,菌落；群落；群體,,,2019-10-31
5462641,color blindness,色盲,,,2019-10-31
5462642,columnar epithelial cell,柱狀上皮細胞,,,2019-10-31
5462643,commensalism,片利共生,,,2019-10-31
5462644,community structure,群集結構；群聚結構,,,2019-10-31
5462645,companion cell,伴細胞,,,2019-10-31
5462646,competition,競爭,,,2019-10-31
5462647,complement,補體,,,2019-10-31
5462648,complementary base pairing,互補鹼基配對,,,2019-10-31
5462649,complementary cell,輔細胞；填充細胞,,,2019-10-31
5462650,complete dominance,完全顯性,,,2019-10-31
5462651,complete flower,完全花,,,2019-10-31
5462652,complete leaf,完全葉,,,2019-10-31
5462653,compound leaf,複葉,,,2019-10-31
5462654,compound lipid,複合脂質,,,2019-10-31
5462655,compound microscope,複式顯微鏡,,,2019-10-31
5462656,concentration gradient,濃度梯度,,,2019-10-31
5462657,condenser,聚光鏡 {光學}；冷凝管 {化學},,,2019-10-31
5462658,conditional reflex,條件反射,,,2019-10-31
5462659,conductive tissue,輸導組織,,,2019-10-31
5462660,conidium {pl. conidia},分生孢子,,,2019-10-31
5462661,conifer {acicular tree; needle-leaved tree},松柏類；針葉樹,,,2019-10-31
5462662,coniferous forest,針葉林,,,2019-10-31
5462663,conjunctiva,結膜,,,2019-10-31
5462664,connective tissue,結締組織,,,2019-10-31
5462665,conservation,保育,,,2019-10-31
5462666,constant region,恆定區,,,2020-12-07
5462667,consumer,消費者,,,2019-10-31
5462668,continental shelf,大陸棚,,,2019-10-31
5462669,contraception,避孕；節育,,,2019-10-31
5462670,contractile vacuole,伸縮泡；伸縮胞,,,2019-10-31
5462671,contrast,對比,,,2019-10-31
5462672,control experiment,對照實驗,,,2019-10-31
5462673,convergent evolution,趨同演化,,,2019-10-31
5462674,coordination,協調[作用],,,2019-10-31
5462675,Coptotermes formosanus,家白蟻,,,2019-10-31
5462676,coral reef,珊瑚礁,,,2019-10-31
5462677,cork,木栓；軟木[塞],,,2019-10-31
5462678,cork cambium,木栓形成層,,,2019-10-31
5462679,cork layer,木栓層,,,2019-10-31
5462680,cornea,角膜,,,2019-10-31
5462681,corolla {pl. corollas},花冠,,,2019-10-31
5462682,corollas {sing. corolla},花冠,,,2019-10-31
5462683,coronary artery,冠狀動脈,,,2019-10-31
5462684,coronary vein,冠狀靜脈,,,2019-10-31
5462685,coronavirus,冠狀病毒,,,2019-10-31
5462686,corpus callosum,胼胝體,,,2019-10-31
5462687,corpus luteum,黃體,,,2019-10-31
5462688,corpus striatum,紋狀體,,,2019-10-31
5462689,cortex,皮層；皮質,,,2019-10-31
5462690,cortical nephron,皮質腎元,,,2019-10-31
5462691,corticotropin-releasing hormone {=CRH},促腎上腺皮質素釋素,,,2019-10-31
5462692,cotyledon,子葉,,,2019-10-31
5462693,countercurrent exchange,對流交換；逆流交換,,20220616修訂,2022-07-15
5462694,counter-current flow,逆向流動,,,2019-10-31
5462695,countertransport,反向運輸,,,2019-10-31
5462696,coupled reaction,偶聯反應；偶合反應,,,2019-10-31
5462697,courtship,求偶,,,2019-10-31
5462698,Coxsackie virus,柯薩奇[氏]病毒,,,2019-10-31
5462699,cranial nerve,腦神經,,,2019-10-31
5462700,cranium,顱腔；腦顱,,,2019-10-31
5462701,Crassulaceae,景天科,,,2019-10-31
5462702,creatine,肌酸,,,2019-10-31
5462703,creatinine,肌酸酐,,,2019-10-31
5462704,creatinine clearance,肌酸酐廓清率,,,2019-10-31
5462705,cretinism,呆小症,,,2019-10-31
5462706,CRH {corticotropin-releasing hormone},促腎上腺皮質素釋素,,,2019-10-31
5462707,cri-du-chat syndrome,貓叫症,,,2019-10-31
5462708,Crinum asiaticum,文珠蘭；文殊蘭,,,2019-10-31
5462709,crista {pl. cristae},[膜]皺褶,,,2019-10-31
5462710,critical dark length {critical night length},臨界夜長,,,2019-10-31
5462711,critical day length,臨界日長；臨界日照,,,2019-10-31
5462712,critical night length {critical dark length},臨界夜長,,,2019-10-31
5462713,Cro-Magnon man,克洛曼儂人,,,2019-10-31
5462714,cross pollination,異花授粉,,,2019-10-31
5462715,cross section,橫切面,,,2019-10-31
5462716,crossing over {chromosomal crossover},[染色體]互換,,,2019-10-31
5462717,Crustacea,甲殼綱,,,2019-10-31
5462718,crustacean,甲殼類,,,2019-10-31
5462719,cuboidal epithelium,立方上皮,,,2019-10-31
5462720,culture medium,培養基,,,2019-10-31
5462721,cupula,頂蓋 {耳},,,2019-10-31
5462722,Cushing syndrome,庫欣[氏]症[候群],,,2019-10-31
5462723,cutaneous sebum,皮脂,,,2019-10-31
5462724,cutin,角質,,,2019-10-31
5462725,cutting,扦插,,,2019-10-31
5462726,CVS {chorionic villus sampling},絨毛膜取樣,,,2019-10-31
5462727,cyanobacteria {sing. cyanobacterium},藍[綠]菌,,,2019-10-31
5462728,cyclic electron flow,循環[式]電子流,,,2019-10-31
5462729,cyclic electron transport system,循環[式]電子傳遞系統,,,2019-10-31
5462730,cycloheximide {actidione},環己醯亞胺；放線菌酮,,,2019-10-31
5462731,cyclosis {cytoplasmic streaming},胞質循流,,,2019-10-31
5462732,cyclosporin,環孢素,,,2019-10-31
5462733,Cyperus malaccensis malaccensis,茳芏,,,2019-10-31
5462734,cysteine,半胱胺酸,,,2019-10-31
5462735,cytochrome,細胞色素,,,2019-10-31
5462736,cytokine,細胞介素,,,2019-10-31
5462737,cytokinesis,胞質分裂,,,2019-10-31
5462738,cytokinin,細胞分裂素,,,2019-10-31
5462739,cytoplasm,細胞質,,,2019-10-31
5462740,cytoplasmic streaming {cyclosis},胞質循流,,,2019-10-31
5462741,cytosine,胞嘧啶,,,2019-10-31
5462742,cytoskeleton,細胞骨架,,,2019-10-31
5462743,cytosol,[細]胞質液,,,2019-10-31
5462744,cytotoxic T cell {cytotoxic T lymphocyte; Tc},胞毒[型]T細胞；胞毒[型]T淋巴球,,,2019-10-31
5462745,cytotoxic T lymphocyte {cytotoxic T cell; Tc},胞毒[型]T淋巴球；胞毒[型]T細胞,,,2019-10-31
5462746,daily change {diurnal change},日變化,,,2019-10-31
5462747,Darwin's finches,達爾文雀,,,2019-10-31
5462748,daughter cell,子細胞,,,2019-10-31
5462749,daughter chromosome,子染色體,,,2019-10-31
5462750,day-neutral plant {=DNP},日中性植物,,,2019-10-31
5462751,DCPIP {2.6-dichlorophenolindophenol},"2,6-二氯酚吲哚酚",,,2019-10-31
5462752,deciduous forest,落葉林,,,2019-10-31
5462753,decomposer,分解者,,,2019-10-31
5462754,decomposition,分解[作用],,,2019-10-31
5462755,defecation,排遺,,,2019-10-31
5462756,defect gene,缺陷基因,,,2019-10-31
5462757,dehydration,脫水[作用],,,2019-10-31
5462758,dehydrogenase,去氫酶,,,2019-10-31
5462759,deism,自然神論,,,2019-10-31
5462760,deletion,缺失,,,2019-10-31
5462761,dendrite,樹突,,,2019-10-31
5462762,dendritic cell,樹突細胞,,,2019-10-31
5462763,Dengue fever,登革熱,,,2019-10-31
5462764,denitrification,去硝化[作用],,,2019-10-31
5462765,dense connective tissue,緻密結締組織,,,2019-10-31
5462766,dentition,齒列,,,2019-10-31
5462767,deoxyribonuclease {=DNase},去氧核糖核酸水解酶；DNA水解酶,,,2019-10-31
5462768,deoxyribonucleic acid {=DNA},去氧核糖核酸,,,2019-10-31
5462769,deoxyribonucleotide,去氧[核糖]核苷酸,,,2019-10-31
5462770,deoxyribose,去氧核糖,,,2019-10-31
5462771,depolarization,去極化,,,2019-10-31
5462772,depression,憂鬱[症],,,2019-10-31
5462773,derived lipid,衍生脂質,,,2019-10-31
5462774,dermal tissue,表皮組織,,,2019-10-31
5462775,descent with modification,累世修飾,,,2019-10-31
5462776,detoxication,解毒[作用],,,2019-10-31
5462777,Deuteromycetes,不完全菌綱 {真菌},,,2019-10-31
5462778,deuterostome,後口動物,,,2019-10-31
5462779,dextrin,糊精,,,2019-10-31
5462780,diabetes insipidus,尿崩症,,,2019-10-31
5462781,diabetes mellitus,糖尿病,,,2019-10-31
5462782,diastole,心舒期；舒張期,,,2019-10-31
5462783,diatom,矽藻,,,2019-10-31
5462784,dicot {dicotyledon; dicotyledonous plant},雙子葉植物,,,2019-10-31
5462785,dicotyledon {dicot; dicotyledonous plant},雙子葉植物,,,2019-10-31
5462786,dicotyledonous plant {dicot; dicotyledon},雙子葉植物,,,2019-10-31
5462787,diencephalon,間腦,,,2019-10-31
5462788,differentiation,分化,,,2019-10-31
5462789,diffusion,擴散[作用],,,2019-10-31
5462790,digestion,消化[作用],,,2019-10-31
5462791,digestive gland,消化腺,,,2019-10-31
5462792,digitoxin,毛地黃苷,,,2019-10-31
5462793,dihybrid,二性狀雜合體,,,2019-10-31
5462794,dihybrid cross,二性狀雜合體互交,,,2019-10-31
5462795,dimer,二聚體,,,2019-10-31
5462796,dinitrogenase,二氮酶,,,2019-10-31
5462797,dinoflagellate,渦鞭藻,,,2019-10-31
5462798,dioecious,雌雄異體[的]；雌雄異株[的],,,2019-10-31
5462799,dioxin,戴奧辛,,,2019-10-31
5462800,dipeptide,二肽,,,2019-10-31
5462801,diphtheria,白喉,,,2019-10-31
5462802,diploblastic,雙胚層[的],,,2019-10-31
5462803,Diplococcus pneumoniae,肺炎雙球菌,,,2019-10-31
5462804,diploid,二倍[的]；二倍體,,,2019-10-31
5462805,diploid cell,二倍體細胞,,,2019-10-31
5462806,diploid chromosome,{英文無此用法},,,2019-10-31
5462807,diploid organism,二倍體生物,,,2019-10-31
5462808,Diplopoda,倍足綱,,,2019-10-31
5462809,directional selection,定向天擇,,,2019-10-31
5462810,disaccharidase,雙醣酶；二醣酶,,,2019-10-31
5462811,disaccharide,雙醣；二醣,,,2019-10-31
5462812,distal convoluted tubule,遠曲小管,,,2019-10-31
5462813,diurnal change {daily change},日變化,,,2019-10-31
5462814,divergent evolution,趨異演化,,,2019-10-31
5462815,diversifying selection,分歧[型]天擇,,,2019-10-31
5462816,diversity,多樣性；歧異度,,,2019-10-31
5462817,DMD {Duchenne muscular dystrophy},杜顯[氏]肌肉萎縮症；裘馨[氏]肌肉萎縮症,,,2019-10-31
5462818,DNA chip,DNA晶片,,,2019-10-31
5462819,DNA fingerprint,DNA指紋,,,2019-10-31
5462820,DNA fingerprinting,DNA指紋分析,,,2019-10-31
5462821,DNA ligase,DNA接合酶；DNA連接酶,,20220311修訂,2022-07-15
5462822,DNA polymerase,DNA聚合酶,,,2019-10-31
5462823,DNA {deoxyribonucleic acid},去氧核糖核酸,,,2019-10-31
5462824,domain,域,,,2019-10-31
5462825,Domain Archaea,古菌域,,,2019-10-31
5462826,Domain Eukarya,真核生物域,,,2019-10-31
5462827,dominant,顯性[的]；優勢[的],,,2019-10-31
5462828,dominant allele,顯性等位基因,,,2019-10-31
5462829,dominant species,優勢種,,,2019-10-31
5462830,dominant trait,顯性表徵,,,2019-10-31
5462831,dopamine,多巴胺,,,2019-10-31
5462832,dormancy,休眠,,,2019-10-31
5462833,dormin,休眠素,,,2019-10-31
5462834,dorsal horn,背角,,,2019-10-31
5462835,dorsal nerve cord,背神經管,,,2019-10-31
5462836,dorsal root,背根,,,2019-10-31
5462837,dorsal vessel,背血管,,,2019-10-31
5462838,double fertilization,雙重受精,,,2019-10-31
5462839,double helix,雙[股]螺旋,,,2019-10-31
5462840,doubling time,倍增時間,,,2019-10-31
5462841,Down syndrome,唐氏症,,,2019-10-31
5462842,Drosophila,果蠅[屬],,,2019-10-31
5462843,Duchenne muscular dystrophy {=DMD},杜顯[氏]肌肉萎縮症；裘馨[氏]肌肉萎縮症,,,2019-10-31
5462844,duct gland,有管腺,,,2019-10-31
5462845,ductless gland,無管腺,,,2019-10-31
5462846,duodenum,十二指腸,,,2019-10-31
5462847,duplication,重複 {染色體},,,2019-10-31
5462848,dura mater,硬腦膜,,,2019-10-31
5462849,dwarfism,侏儒症,,,2019-10-31
5462850,dyad {chromosome dyad},二分體,,,2019-10-31
5462851,dynamic equilibrium,動態平衡,,,2019-10-31
5462852,dynein,動力蛋白,,,2019-10-31
5462853,early wood,早材,,,2019-10-31
5462854,ecdysone,蛻皮激素,,,2019-10-31
5462855,echinoderm,棘皮動物,,,2019-10-31
5462856,Echinodermata,棘皮動物門,,,2019-10-31
5462857,echolocation,回音定位,,,2019-10-31
5462858,ecological pyramid,生態塔,,,2019-10-31
5462859,ecology,生態學,,,2019-10-31
5462860,ecosystem,生態系,,,2019-10-31
5462861,ecosystem diversity,生態系多樣性,,,2019-10-31
5462862,ectoderm,外胚層,,,2019-10-31
5462863,ectomycorrhizae,外生菌根,,,2019-10-31
5462864,ectotherm {poikilotherm},外溫動物；變溫動物,,,2019-10-31
5462865,effector,動器 {神經},,,2019-10-31
5462866,efferent arteriole,出球小動脈,,,2019-10-31
5462867,efferent neuron,傳出神經元,,,2019-10-31
5462868,ejaculation,射精,,,2019-10-31
5462869,elastic cartilage,彈性軟骨,,,2019-10-31
5462870,elastic fiber,彈性纖維,,,2019-10-31
5462871,elastin,彈性蛋白,,,2019-10-31
5462872,electric signal,電訊號,,,2019-10-31
5462873,electrical neutrality,電中性,,,2019-10-31
5462874,electrocardiogram {=ECG},心電圖,,,2019-10-31
5462875,electrochemical gradient,電化學梯度,,,2019-10-31
5462876,electrochemical response,電化學回應,,,2019-10-31
5462877,electromagnetic spectrum,電磁光譜,,,2019-10-31
5462878,electron acceptor,電子接受者,,,2019-10-31
5462879,electron carrier,電子攜帶者,,,2019-10-31
5462880,electron donor,電子供給者,,,2019-10-31
5462881,electron microscope {=EM},電子顯微鏡,,,2019-10-31
5462882,electron transport chain,電子傳遞鏈,,,2019-10-31
5462883,element,元素,,,2019-10-31
5462884,element cycle,元素循環,,,2019-10-31
5462885,elephantiasis,象皮病,,,2019-10-31
5462886,elongation region {zone of elongation},延長區,,,2019-10-31
5462887,EM {electron microscope},電子顯微鏡,,,2019-10-31
5462888,embolus,栓[子],,,2019-10-31
5462889,embryo,胚,,,2019-10-31
5462890,embryo axis,胚軸,,,2019-10-31
5462891,embryo sac,胚囊,,,2019-10-31
5462892,embryology,胚胎學,,,2019-10-31
5462893,emigration,遷出,,,2019-10-31
5462894,emphysema,肺氣腫,,,2019-10-31
5462895,emulsification,乳化[作用],,,2019-10-31
5462896,encephalitis,腦炎,,,2019-10-31
5462897,endangered species,瀕危[物]種,,,2019-10-31
5462898,endergonic reaction,吸能反應；需能反應,,,2019-10-31
5462899,endocrine gland,內分泌腺,,,2019-10-31
5462900,endocrine system,內分泌系統,,,2019-10-31
5462901,endocytosis,胞吞作用,,,2019-10-31
5462902,endoderm,內胚層,,,2019-10-31
5462903,endodermis,內皮[層],,,2019-10-31
5462904,endometrium,子宮內膜,,,2019-10-31
5462905,endomycorrhizae,內生菌根,,,2019-10-31
5462906,endoplasmic reticulum {=ER},內質網,,,2019-10-31
5462907,endorphin,內啡；腦內啡,,,2019-10-31
5462908,endoskeleton,內骨骼,,,2019-10-31
5462909,endosperm,胚乳,,,2019-10-31
5462910,endosymbiosis,內共生[作用],,,2019-10-31
5462911,endothelium,內皮,,,2019-10-31
5462912,endotherm,內溫動物；恆溫動物,,,2019-10-31
5462913,endotoxin,內毒素,,,2019-10-31
5462914,end-plate potential,終板電位,,,2019-10-31
5462915,energy,能[量],,,2019-10-31
5462916,energy currency,能量貨幣,,,2019-10-31
5462917,energy pyramid {pyramid of energy flow},能量[金字]塔,,,2019-10-31
5462918,energy trap,能量陷阱,,,2019-10-31
5462919,enteric bacteria,腸內菌,,,2019-10-31
5462920,enterogastrone,腸抑胃泌素,,,2019-10-31
5462921,enterovirus,腸病毒,,,2019-10-31
5462922,entomophilous flower {insect-pollinated flower},蟲媒花,,,2019-10-31
5462923,entrohepatic circulation,腸肝循環,,,2019-10-31
5462924,envelope,套膜,,,2019-10-31
5462925,enveloped virus,有套膜病毒,,,2019-10-31
5462926,environmental hormone,環境激素；環境荷爾蒙,,,2019-10-31
5462927,environmental tolerance,環境耐受度,,,2019-10-31
5462928,enzyme,酵素；酶,,,2019-10-31
5462929,eosinophil,嗜酸性球,,,2019-10-31
5462930,ependymal cell,室管膜細胞,,,2019-10-31
5462931,epicardium,心外膜,,,2019-10-31
5462932,epicotyl,上胚軸,,,2019-10-31
5462933,epidermal cell,表皮細胞,,,2019-10-31
5462934,epidermis,表皮,,,2019-10-31
5462935,epididymis,副睪,,,2019-10-31
5462936,epigeal germination,地上型萌發,,,2019-10-31
5462937,epiglottal cartilage,會厭軟骨,,,2019-10-31
5462938,epiglottis,會厭,,,2019-10-31
5462939,epinephrine {adrenaline},腎上腺素,,,2019-10-31
5462940,epiphyte,附生植物,,,2019-10-31
5462941,epithelial tissue,上皮組織,,,2019-10-31
5462942,equatorial plate {metaphase plate},赤道板；中期板,,,2019-10-31
5462943,equine encephalitis,馬腦炎,,,2019-10-31
5462944,Equus,現代馬[屬],,,2019-10-31
5462945,ER {endoplasmic reticulum},內質網,,,2019-10-31
5462946,erection,勃起,,,2019-10-31
5462947,erythrocyte {red blood cell; RBC},紅血球,,,2019-10-31
5462948,erythropoietin,紅血球生成素,,,2019-10-31
5462949,Escherichia coli {=E. coli},大腸桿菌,,,2019-10-31
5462950,esophagus,食道,,,2019-10-31
5462951,essential amino acid,必需胺基酸,,,2019-10-31
5462952,estrogen,動情素,,,2019-10-31
5462953,estuarine flat,河口灘地,,,2019-10-31
5462954,estuarine mud flat,河口泥灘地,,,2019-10-31
5462955,estuary {river mouth},河口,,,2019-10-31
5462956,ethanol,乙醇；酒精,,,2019-10-31
5462957,ethylene,乙烯,,,2019-10-31
5462958,euchromatin,真染色質,,,2019-10-31
5462959,Euglena,眼蟲屬,,,2019-10-31
5462960,euglenids {euglenoids},眼蟲；裸藻,,,2019-10-31
5462961,euglenoids {euglenids},眼蟲；裸藻,,,2019-10-31
5462962,eukaryote {eucaryote},真核生物,,,2019-10-31
5462963,eukaryotic cell {eucaryotic cell},真核細胞,,,2019-10-31
5462964,euploid,整倍體,,,2019-10-31
5462965,euryhaline,廣鹽性,,,2019-10-31
5462966,Eustachian tube {auditory tube},歐氏管；耳咽管,,,2019-10-31
5462967,eutheria {eutherian mammal; placental mammal},胎盤哺乳類；真獸類,,,2019-10-31
5462968,eutherian mammal {eutheria; placental mammal},胎盤哺乳類；真獸類,,,2019-10-31
5462969,eutrophication,優養化,,,2019-10-31
5462970,evaporation,蒸發,,,2019-10-31
5462971,evergreen broadleaf forest,常綠闊葉林,,,2019-10-31
5462972,evolution,演化,,,2019-10-31
5462973,evolutionary tree,演化樹,,,2019-10-31
5462974,excitatory stimulus,興奮性刺激,,,2019-10-31
5462975,excited state,激態,,,2019-10-31
5462976,excretion,排泄[作用],,,2019-10-31
5462977,exergonic reaction,放能反應；釋能反應,,,2019-10-31
5462978,exocrine gland,外分泌腺,,,2019-10-31
5462979,exocytosis,胞吐作用,,,2019-10-31
5462980,exon,外顯子,,,2019-10-31
5462981,exoskeleton,外骨骼,,,2019-10-31
5462982,exotic species {alien species; introduced species},外來種,,,2019-10-31
5462983,exotoxin,外毒素,,,2019-10-31
5462984,expiration,呼氣[作用],,,2019-10-31
5462985,expiratory neuron,呼氣神經元,,,2019-10-31
5462986,exponential growth,指數型[族群]成長,,,2019-10-31
5462987,extensor muscle {extensor},伸肌,,,2019-10-31
5462988,extensor {extensor muscle},伸肌,,,2019-10-31
5462989,external ear,外耳,,,2019-10-31
5462990,external exchange,外部交換,,,2019-10-31
5462991,external gill,外鰓,,,2019-10-31
5462992,external intercostal muscle,外肋間肌,,,2019-10-31
5462993,external respiration,外呼吸,,,2019-10-31
5462994,external sphincter,外括約肌,,,2019-10-31
5462995,extinction,滅絕,,,2019-10-31
5462996,extracellular digestion,胞外消化,,,2019-10-31
5462997,extracellular fluid,細胞外液,,,2019-10-31
5462998,extraembryonic membrane,胚外膜,,,2019-10-31
