ID,英文名稱,中文名稱,圖片,備註,更新日期
3635800,bit per second{=bps},每秒位元數,,,2018-12-17
3635801,bitmap image,點陣圖；點陣影像,,,2018-12-17
3635802,bitmap{=BMP},點陣圖；位元映像,,,2018-12-17
3635803,blocks palette,區塊調色盤,,,2018-12-17
3635804,Blog,部落格、網誌、博客,,,2018-12-17
3635805,bluetooth,藍牙,,,2018-12-17
3635806,Blu-ray,藍光,,,2018-12-17
3635807,Blu-ray disc{=BD},藍光光碟,,,2018-12-17
3635808,Blu-ray DVD,藍光 DVD,,,2018-12-17
3635809,Boolean,布林；布耳的,,,2018-12-17
3635810,Boot-type Virus,開機型病毒,,,2018-12-17
3635811,BotNet,殭屍網路,,,2018-12-17
3635812,bottom,底端,,,2018-12-17
3635813,bottom Up,由下而上,,,2018-12-17
3635814,boundary condition,邊界條件,,,2018-12-17
3635815,branch,分支,,,2018-12-17
3635816,bridge,橋接器,,,2018-12-17
3635817,brightness,亮度,,,2018-12-17
3635818,broadcast radio,廣播無線電,,,2018-12-17
3635819,browser,瀏覽器,,,2018-12-17
3635820,brute force,蠻力,,,2018-12-17
3635821,buffer,緩衝器,,,2018-12-17
3635822,buffer overflow,緩衝器溢位,,,2018-12-17
3635823,bug,錯誤,,,2018-12-17
3635824,Bulletin Board System{=BBS},電子佈告欄系統,,,2018-12-17
3635825,bus,匯流排,,,2018-12-17
3635826,bus width,匯流排寬度,,,2018-12-17
3635827,business to business{=B2B},企業對企業,,,2018-12-17
3635828,business to consumer{=B2C},企業對消費者,,,2018-12-17
3635829,byte{=B},位元組,,,2018-12-17
3635830,cable modem,纜線數據機,,,2018-12-17
3635831,cache,快取（記憶體）,,,2018-12-17
3635832,cache memory,快取記憶體,,,2018-12-17
3635833,carpal tunnel syndrome{=CTS},腕隧道症候群,,,2018-12-17
3635834,carrier sense multiple access / collision detection{=CSMA/CD},載波偵測多重存取/碰撞偵測,,,2018-12-17
3635835,cathode ray tube{=CRT},陰極射線管,,,2018-12-17
3635836,CD-Recordable{=CD-R},可讀式光碟,,,2018-12-17
3635837,CD-Rewriteable{=CD-RW},可覆寫光碟,,,2018-12-17
3635838,CD-ROM Drive,CD-ROM驅動機,,,2018-12-17
3635839,CD-RW Drive,可抹寫式CD光碟機,,,2018-12-17
3635840,Central Processing Unit{=CPU},中央處理單元,,,2018-12-17
3635841,certification authority{=CA},認證中心,,,2018-12-17
3635842,Champion Chip,冠軍晶片,,,2018-12-17
3635843,character,字元；字符,,,2018-12-17
3635844,charge coupled device{=CCD},電荷耦合元件,,,2018-12-17
3635845,Charles Babbage,查爾斯‧巴貝奇,,,2018-12-17
3635846,charset,字元集；字符集,,,2018-12-17
3635847,child,下代；子節點；孩節點,,,2018-12-17
3635848,Chinese Character Code for Information Interchange{=CCCII},中文資訊交換碼,,,2018-12-17
3635849,Chinese standard interchange code{=CSIC},中文標準交換碼,,,2018-12-17
3635850,chip,晶片,,,2018-12-17
3635851,chipset,晶片組,,,2018-12-17
3635852,ciphertext,密文,,,2018-12-17
3635853,circuit switching,電路交換；線路交換,,,2018-12-17
3635854,class B IP address,B 類 IP 位址,,,2018-12-17
3635855,class C IP address,C 類 IP 位址,,,2018-12-17
3635856,class D IP address,D 類 IP 位址,,,2018-12-17
3635857,class E IP address,E 類 IP 位址,,,2018-12-17
3635858,client,用戶端,,,2018-12-17
3635859,client server,主從式架構,,,2018-12-17
3635860,client server network,主從式網路,,,2018-12-17
3635861,clock,時脈,,,2018-12-17
3635862,clock cycle,時脈週期,,,2018-12-17
3635863,clock multiplier factor,倍頻係數,,,2018-12-17
3635864,clock period,時脈週期,,,2018-12-17
3635865,clock pulse,時脈；時鐘脈波；時鐘脈衝,,,2018-12-17
3635866,clock rate,時脈頻率；時鐘頻率,,,2018-12-17
3635867,cloud computing,雲端運算,,,2018-12-17
3635868,cloud service,雲端服務,,,2018-12-17
3635869,cluster,叢集；群集,,,2018-12-17
3635870,CMY color mode,印刷三原色模式,,,2018-12-17
3635871,coaxial cable,同軸電纜,,,2018-12-17
3635872,coding,編碼；撰寫程式,,,2018-12-17
3635873,collision,碰撞,,,2018-12-17
3635874,command,指令,,,2018-12-17
3635875,commercial software,商用軟體,,,2018-12-17
3635876,communication protocol,通訊協定,,,2018-12-17
3635877,compact disc read only memory{=CD-ROM},唯獨光碟,,,2018-12-17
3635878,compact disk{=CD},光碟,,,2018-12-17
3635879,compiler,編譯程式；編譯器,,,2018-12-17
3635880,complement,補數,,,2018-12-17
3635881,complementary metal-oxide semiconductor{=CMOS},互補性金屬氧化半導體,,,2018-12-17
3635882,complex instruction set computer{=CISC},複雜指令集電腦,,,2018-12-17
3635883,computation,運算,,,2018-12-17
3635884,computational complexity,計算複雜性,,,2018-12-17
3635885,computational knowledge engine,計算式知識引擎,,,2018-12-17
3635886,computer,電腦；計算機,,,2018-12-17
3635887,computer abuse,電腦濫用；電腦誤用,,,2018-12-17
3635888,computer aided design{=CAD},電腦輔助設計,,,2018-12-17
3635889,computer architecture,電腦架構,,,2018-12-17
3635890,computer assisted instruction{=CAI},電腦輔助教學,,,2018-12-17
3635891,computer assistive devices,電腦輔具,,,2018-12-17
3635892,computer ethics institute,電腦倫理協會,,,2018-12-17
3635893,computer graphics,電腦圖形；計算機圖學,,,2018-12-17
3635894,computer network,電腦網路；計算機網路,,,2018-12-17
3635895,computer virus,電腦病毒,,,2018-12-17
3635896,"computer, communications and consumer electronics{=3C}",3C 產品；資通消費性電子產品,,,2018-12-17
3635897,computer-adide manufacturing{=CAM},電腦輔助製造,,,2018-12-17
3635898,computer-aided design{=CAD},電腦輔助設計,,,2018-12-17
3635899,computer-aided software engineering{=CASE},電腦輔助軟體工程,,,2018-12-17
3635900,computer-assisted instruction{=CAI},電腦輔助教學,,,2018-12-17
3635902,confidentiality,機密性,,,2018-12-17
3635903,connection hijacking,連線劫持,,,2018-12-17
3635904,connection oriented service,連接導向服務,,,2018-12-17
3635905,connectionless service,非連接式服務,,,2018-12-17
3635906,constant,常數,,,2018-12-17
3635907,consumer to business{=C2B},消費者對企業,,,2018-12-17
3635908,consumer to consumer{=C2C},消費者對消費者,,,2018-12-17
3635909,contrast,對比,,,2018-12-17
3635910,control bus,控制匯流排,,,2018-12-17
3635911,control unit{=CU},控制單元,,,2018-12-17
3635912,cookie,訊錄；網路餅乾,,,2018-12-17
3635913,copyleft,反著作權；著作權左派；公共著作權,,,2018-12-17
3635914,core,核心,,,2018-12-17
3635915,cracker,劊客,,,2018-12-17
3635916,creative commons{=CC},版權宣告,,,2018-12-17
3635917,cross-site scripting,跨網站指令碼,,,2018-12-17
3635918,crosstalk,串音,,,2018-12-17
3635919,currency,貨幣；流通,,,2018-12-17
3635920,"cyan, magenta, yellow, and black{=CMYK}",青、洋紅、黃、黑（印刷）四原色；印刷四原色,,,2018-12-17
3635921,cylinder,磁柱；圓柱,,,2018-12-17
3635922,data backup,資料備份,,,2018-12-17
3635923,data bus,資料匯流排,,,2018-12-17
3635924,data link layer,資料鏈路層,,,2018-12-17
3635925,data mining,資料探勘,,,2018-12-17
3635926,data structure,資料結構,,,2018-12-17
3635927,data transfer time,資料傳輸時間,,,2018-12-17
3635928,data type,資料型態,,,2018-12-17
3635929,database,資料庫,,,2018-12-17
3635930,debug,除錯,,,2018-12-17
3635931,decimal,十進位；十進制,,,2018-12-17
3635932,decimal number system,十進位數字系統,,,2018-12-17
3635933,decode,解碼,,,2018-12-17
3635934,decoder,解碼器,,,2018-12-17
3635935,decryption,解密,,,2018-12-17
3635936,deep blue,深藍電腦,,,2018-12-17
3635937,definiteness,明確性,,,2018-12-17
3635938,delay,延遲,,,2018-12-17
3635939,denial of service{=DoS},阻絕服務；阻斷服務,,,2018-12-17
3635940,Dennis Ritchie,丹尼斯‧里奇,,,2018-12-17
3635941,Department of Defense{=DoD},（美國）國防部,,,2018-12-17
3635942,desktop,桌面,,,2018-12-17
3635943,dictionary attack,字典式攻擊,,,2018-12-17
3635944,digital,數位,,,2018-12-17
3635945,digital archive,數位典藏,,,2018-12-17
3635946,digital audio coding,數位音訊編碼,,,2018-12-17
3635947,digital camera{=DC},數位相機,,,2018-12-17
3635948,digital certificate,數位憑證,,,2018-12-17
3635949,digital divide,數位落差,,,2018-12-17
3635950,digital home,數位家庭,,,2018-12-17
3635951,digital learning,數位學習,,,2018-12-17
3635952,digital logic circuit,數位邏輯電路,,,2018-12-17
3635953,digital rights management{=DRM},數位著作權管理,,,2018-12-17
3635954,digital signal,數位訊號；數位信號,,,2018-12-17
3635955,digital signal processing{=DSP},數位訊號處理；數位信號處理,,,2018-12-17
3635956,digital single-lens reflex{=DSLR},單眼數位相機；數位單眼相機,,,2018-12-17
3635957,digital to analog converter{=DAC},數位類比轉換器,,,2018-12-17
3635958,digital versatile disc ROM{=DVD-ROM},唯讀式DVD光碟；唯讀式數位多功能影音光碟,,,2018-12-17
3635959,digital versatile disc{=DVD},多用途數位光碟；多樣化數位光碟,,,2018-12-17
3635960,digital watermarking,數位浮水印,,,2018-12-17
3635961,digitize,數位化,,,2018-12-17
3635962,direct memory access{=DMA},直接記憶體存取,,,2018-12-17
3635963,directory,目錄；檔案夾,,,2018-12-17
3635964,disk access time,磁碟存取時間,,,2018-12-17
3635965,disk defrag,磁碟重組,,,2018-12-17
3635966,disk operating system{=DOS},磁碟作業系統,,,2018-12-17
3635967,display card,顯示卡,,,2018-12-17
3635968,distance learning,遠距教學,,,2018-12-17
3635969,distant learning,遠距學習,,,2018-12-17
3635970,distributed denial of service{=DDoS},分散式阻絕服務；分散式阻斷服務,,,2018-12-17
3635971,distributions,發行套件,,,2018-12-17
3635972,divergent thinking,發散性思考、擴散性思考,,,2018-12-17
3635973,divide and conquer,分治法；各個擊破法,,,2018-12-17
3635974,domain name,網域名稱,,,2018-12-17
3635975,domain name server{=DNS},網域名稱伺服器,,,2018-12-17
3635976,domain name system{=DNS},網域名稱系統,,,2018-12-17
3635977,dot per inch{=dpi},每英寸點數；每吋點數,,,2018-12-17
3635978,dot pitch,點距；點節距,,,2018-12-17
3635979,dot-matrix printer,點矩陣式印表機,,,2018-12-17
3635980,double-precision floating-point,倍精準度浮點數,,,2018-12-17
3635981,download,下載,,,2018-12-17
3635982,dual core,雙核心,,,2018-12-17
3635983,dual core processor,雙核心處理器,,,2018-12-17
3635984,dynamic host configuration protocol{=DHCP},動態主機配置協定,,,2018-12-17
3635985,dynamic random access memory{=DRAM},動態隨機存取記憶體,,,2018-12-17
3635986,E-cycle,執行週期,,,2018-12-17
3635987,Edgar F. Codd,柯德（關聯式資料庫發明者）,,,2018-12-17
3635988,effectiveness,有效性,,,2018-12-17
3635989,electrically EPROM{=EEPROM},可電氣抹除可程式唯讀記憶體,,,2018-12-17
3635990,electronic commerce{=EC},電子商務,,,2018-12-17
3635991,electronic discrete variable automatic computer{=EDVAC},EDVAC 電腦,,,2018-12-17
3635992,Electronic mail{=E-mail},電子郵件,,,2018-12-17
3635993,electronic numerical integrator and computer{=ENIAC},ENIAC 電腦,,,2018-12-17
3635994,electronic toll collection{=ETC},電子收費系統；電子化道路收費系統,,,2018-12-17
3635995,embedded computer,嵌入式電腦,,,2018-12-17
3635996,embedded system,嵌入式系統,,,2018-12-17
3635997,encoding,編碼,,,2018-12-17
3635998,encoding system,編碼系統,,,2018-12-17
3635999,enhanced parallel port{=EPP},增強型平行埠,,,2018-12-17
3636000,environmental protection agency{=EPA},美國環境保護署,,,2018-12-17
3636001,erasable PROM{=EPROM},可抹除可程式唯讀記憶體,,,2018-12-17
3636002,ethernet,乙太網路,,,2018-12-17
3636003,European Organisation for Nuclesr Research{=CERN},歐洲核子研究組織,,,2018-12-17
3636004,exabyte{=EB},艾位元組,,,2018-12-17
3636005,exclusive OR{=XOR},互斥或,,,2018-12-17
3636006,execute,執行,,20220811修訂,2022-08-11
3636007,execution cycle,執行週期,,,2018-12-17
3636008,expert system,專家系統,,,2018-12-17
3636009,exponent,指數,,,2018-12-17
3636010,expression,運算式,,,2018-12-17
3636011,extended ASCII code,擴充 ASCII 碼,,,2018-12-17
3636012,extended binary coded decimal interchange code{=EBCDIC},延伸二進制編碼十進交換碼,,,2018-12-17
3636013,external bus,外部匯流排,,,2018-12-17
3636014,external clock,外部鐘訊,,,2018-12-17
3636015,external frequency,外頻,,,2018-12-17
3636016,external SATA{=eSATA},外部序列先進技術附接；外部序列先進技術附件,,,2018-12-17
3636017,extranet,商際網路；企業間網路,,,2018-12-17
3636018,factory automation{=FA},工廠自動化,,,2018-12-17
3636019,fetch,擷取,,,2018-12-17
3636020,fetch cycle,擷取週期,,,2018-12-17
3636021,fiber,光纖,,,2018-12-17
3636022,fiber optics,光纖,,,2018-12-17
3636023,fiber to the building{=FTTB},光纖到大樓,,,2018-12-17
3636024,fiber to the curb{=FTTC},光纖到路側,,,2018-12-17
3636025,fiber to the home{=FTTH},光纖到府,,,2018-12-17
3636026,file,檔案,,,2018-12-17
3636027,file allocation,檔案配置,,,2018-12-17
3636028,file management,檔案管理,,,2018-12-17
3636029,file path,檔案路徑,,,2018-12-17
3636030,file transfer protocol{=FTP},檔案傳輸協定,,,2018-12-17
3636031,file-type virus,檔案型病毒,,,2018-12-17
3636032,filp-flop,正反器,,,2018-12-17
3636033,filter software,過濾軟體,,,2018-12-17
3636034,finiteness,有限性,,,2018-12-17
3636035,firewall,防火牆,,,2018-12-17
3636036,firewire,火線,,,2018-12-17
3636037,firmware,韌體,,,2018-12-17
3636038,first in first out{=FIFO},先進先出,,,2018-12-17
3636039,flash disk,快閃碟；隨身碟,,,2018-12-17
3636040,flash memory,快閃記憶體,,,2018-12-17
3636041,flash memory card,快閃記憶卡,,,2018-12-17
3636042,flash ROM,快閃記憶體,,,2018-12-17
3636043,flash video{=FLV},Flash 串流影音規格,,,2018-12-17
3636044,Flip-flop,正反器,,,2018-12-17
3636045,floating-point number,浮點數,,,2018-12-17
3636046,floating-point operation,浮點運算,,,2018-12-17
3636047,floating-point unit{=FPU},浮點單元,,,2018-12-17
3636048,floppy disk{=FDD},軟式磁碟機,,,2018-12-17
3636049,flow chart,流程圖,,,2018-12-17
3636050,folder,資料夾,,,2018-12-17
3636051,fool-proof design,防呆設計,,,2018-12-17
3636052,format,格式；製作格式,,,2018-12-17
3636053,formatting,格式化,,,2018-12-17
3636054,FORTRAN,FORTRAN 語言,,,2018-12-17
3636055,fourth generation language{=4GL},第四代語言,,,2018-12-17
3636056,frame,框；資訊框,,,2018-12-17
3636057,free software,自由軟體,,,2018-12-17
3636058,freeware,免費軟體,,,2018-12-17
3636059,front,前端,,,2018-12-17
3636060,front side bus{=FSB},前側匯流排,,,2018-12-17
3636061,gamepad,遊戲台,,,2018-12-17
3636062,"garbage in,  garbage out{=GIGO}",垃圾進垃圾出,,,2018-12-17
3636063,gateway,閘道器,,,2018-12-17
3636064,general packet radio service{=GPRS},通用封包無線電服務,,,2018-12-17
3636065,general public license{=GPL},通用公共授權條款,,,2018-12-17
3636066,general-purpose computer,通用型電腦,,,2018-12-17
3636067,geographic information system{=GIS},地理資訊系統,,,2018-12-17
3636068,gesture recognition control,手勢辨識控制,,,2018-12-17
3636069,gigabit per second{=Gbps},每秒十億位元,,,2018-12-17
3636070,gigabit{=Gb},吉位元；十億位元；吉比；十億比,,,2018-12-17
3636071,gigabyte{=GB},吉位元組；十億位元組；吉拜；十億拜,,,2018-12-17
3636072,gigahertz{=GHz},吉赫；十億赫茲,,,2018-12-17
3636073,global positioning system{=GPS},全球定位系統,,,2018-12-17
3636074,global system for mobile communications{=GSM},全球行動通訊系統,,,2018-12-17
3636075,G-mouse,視窗導盲鼠系統,,,2018-12-17
3636076,Grace Hopper,霍普（COBOL 語言創始者）,,,2018-12-17
3636077,graphical user interface{=GUI},圖形化使用者介面,,,2018-12-17
3636078,graphics interchange format{=GIF},圖形交換格式,,,2018-12-17
3636079,greedy method,貪心法則,,,2018-12-17
3636080,green IT,綠色資訊科技,,,2018-12-17
3636081,hacker,駭客,,,2018-12-17
3636082,hacking,駭侵,,,2018-12-17
3636083,hard disk drive{=HDD},硬式磁碟機,,,2018-12-17
3636084,hard disk{=HD},硬碟,,,2018-12-17
3636085,hardware,硬體,,,2018-12-17
3636086,head,頭；磁頭,,,2018-12-17
3636087,head mounted display,頭戴顯示裝置,,,2018-12-17
3636088,header,標頭,,,2018-12-17
3636089,hertz{=Hz},赫茲；赫,,,2018-12-17
3636090,hexadecimal,十六進位,,,2018-12-17
3636091,hexadecimal number system,十六進位數系統；十六進制,,,2018-12-17
3636092,high definition multimedia interface{=HDMI},高畫質多媒體介面；高解析度多媒體介面,,,2018-12-17
3636093,high definition versatile disc{=HVD},高畫質通用光碟,,,2018-12-17
3636094,high speed downlink packet access{=HSDPA},高速下載封包存取,,,2018-12-17
3636095,high-level language,高階語言,,,2018-12-17
3636096,HiNet,HiNet 網路,,,2018-12-17
3636097,Hollerith,何樂利；打洞卡,,,2018-12-17
3636098,holographic display,全像式顯示器,,,2018-12-17
3636099,holographic versatile disc{=HVD},全像通用光碟,,,2018-12-17
3636100,home use applications,家用軟體,,,2018-12-17
3636101,homepage,首頁,,,2018-12-17
3636102,horizontal application,水平應用,,,2018-12-17
3636103,horizontal thinking,水平式（邏輯）思考,,,2018-12-17
3636104,host address,主機位址,,,2018-12-17
3636105,host ID,主機識別碼；主機編號；主機 ID,,,2018-12-17
3636106,hot swap,熱插拔,,,2018-12-17
3636107,hot-plugging,熱插入,,,2018-12-17
3636108,hotspot,（無線上網）熱點,,,2018-12-17
3636109,hub,集線器,,,2018-12-17
3636110,Huffman code,霍夫曼碼,,,2018-12-17
3636111,Huffman's coding,霍夫曼編碼法,,,2018-12-17
3636112,Huffman's encoding,霍夫曼編碼法,,,2018-12-17
3636113,hyperlink,超鏈結,,,2018-12-17
3636114,hypertext,超文件,,,2018-12-17
3636115,HyperText Markup Language{=HTML},超文件標示語言,,,2018-12-17
3636116,HyperText Tranafer Protocol{=HTTP},超文件傳輸協定,,,2018-12-17
3636117,IBM,國際商業機器股份有限公司,,,2018-12-17
3636118,icon,圖示；圖符,,,2018-12-17
3636119,I-cycle,指令週期,,,2018-12-17
3636120,IEEE 1394,IEEE 1394 標準,,,2018-12-17
3636121,image vector,影像向量,,,2018-12-17
3636122,index,索引；指標,,,2018-12-17
3636123,index allocation,索引配置,,,2018-12-17
3636124,index search,索引搜尋,,,2018-12-17
3636125,index value,索引值,,,2018-12-17
3636126,information appliances{=IA},資訊家電,,,2018-12-17
3636127,information ethics,資訊倫理,,,2018-12-17
3636128,information systems,資訊系統,,,2018-12-17
3636129,infrared,紅外線,,,2018-12-17
3636130,infrared radiation,紅外線輻射,,,2018-12-17
3636131,ink-jet printer,噴墨列印機,,,2018-12-17
3636132,input,輸入,,,2018-12-17
3636133,input unit{=IU},輸入單元；輸入裝置,,,2018-12-17
3636134,input/output{=I/O},輸入/輸出；輸出入,,,2018-12-17
3636135,instant messaging{=IM},即時通訊,,,2018-12-17
3636136,Institute of Electrical and Electronic Engineer{=IEEE},（美國）電機電子工程師學會,,,2018-12-17
3636137,instruction cycle,指令周期,,,2018-12-17
3636138,instruction register{=IR},指令暫存器,,,2018-12-17
3636139,integer,整數,,,2018-12-17
3636140,integrated circuit{=IC},積體電路,,,2018-12-17
3636141,integrated device electronics{=IDE},IDE 介面；整合設備電子介面,,,2018-12-17
3636142,integrated drive electronics{=IDE},IDE 介面；整合設備電子介面,,,2018-12-17
3636143,integrity,完整性,,,2018-12-17
3636144,intellectual property right{=IPR},智慧財產權,,20210420修訂,2021-04-20
3636145,intelligent transportation system{=ITS},智慧型交通運輸系統,,,2018-12-17
3636146,intermediate station,中間站,,,2018-12-17
3636147,internal bus,內部匯流排,,,2018-12-17
3636148,internal clock,內鐘訊,,,2018-12-17
3636149,internal frequency,內頻,,,2018-12-17
3636150,international organization for standardization{=ISO},國際標準組織,,,2018-12-17
3636151,international telecommunication union{=ITU},國際電信聯盟,,,2018-12-17
3636152,Internet,網際網路,,,2018-12-17
3636153,Internet addiction disorder{=IAD},網路成癮症；嗜網症,,,2018-12-17
3636154,Internet content provider{=ICP},網際網路內容提供者,,,2018-12-17
3636155,Internet Corporation for Assigned Names and Numbers{=ICANN},網際網路指定名稱與位址管理機構；ICANN 機構,,,2018-12-17
3636156,Internet crime,網路犯罪；網際網路犯罪,,,2018-12-17
3636157,Internet information server{=IIS},網際網路資訊伺服器,,,2018-12-17
3636158,internet layer,網路互連層,,,2018-12-17
3636159,Internet message access protocol{=IMAP},網際網路訊息存取協定,,,2018-12-17
3636160,Internet protocol address{=IP Address},網際網路協定位址,,,2018-12-17
3636161,Internet protocol version 4{=IPv4},網際網路協定第 4 版,,,2018-12-17
3636162,Internet protocol version 6{=IPv6},網際網路協定第 6 版,,,2018-12-17
3636163,Internet protocol{=IP},網際網路協定,,,2018-12-17
3636164,Internet rumor,網路謠言,,,2018-12-17
3636165,Internet service provider{=ISP},網際網路服務提供者,,,2018-12-17
3636166,InterNIC,美國網際網路資訊中心；網際網路域名管理中心,,,2018-12-17
3636167,interpreter,直譯器；解譯器,,,2018-12-17
3636168,interrupt,中斷；岔斷,,,2018-12-17
3636169,Intranet,內部網路,,,2018-12-17
3636170,intrusion,侵入,,,2018-12-17
3636171,intrusion prevention system{=IPS},入侵防禦系統,,,2018-12-17
3636172,iOS,蘋果行動裝置作業系統,,,2018-12-17
3636173,iuput process output{=IPO},輸入、處理、輸出,,,2018-12-17
3636174,J. Presper Eckert,伊克特（ENIAC 電腦發明者）,,,2018-12-17
3636175,James Gosling,高斯林（JAVA 創造者）,,,2018-12-17
3636176,Java Server Pages{=JSP},Java 網頁伺服器；JSP 軟體技術,,,2018-12-17
3636177,Jimmy Wales,威爾斯（維基創辦人）,,,2018-12-17
3636178,job scheduling,工件排程；工作排程,,,2018-12-17
3636179,John McCarthy,麥卡錫（人工智慧先驅者）,,,2018-12-17
3636180,John von Neumann,馮紐曼（電子數位計算機創造者）,,,2018-12-17
3636181,John William Mauchly,莫克利（ENIAC 電腦設計者）,,,2018-12-17
3636182,Joint Photographic Experts Group{=JPEG},JPEG圖像壓縮標準,,,2018-12-17
3636183,Joint Photographic Group{=JPG},JPG圖像壓縮標準,,,2018-12-17
3636184,joystick,搖桿,,,2018-12-17
3636185,Ken Thompson,湯普遜（Unix 發明人）,,,2018-12-17
3636186,kernel,內核；內核程式,,,2018-12-17
3636187,key,鍵；鑰；關鍵,,,2018-12-17
3636188,keyboard,鍵盤,,,2018-12-17
3636189,keylogger,鍵盤側錄程式,,,2018-12-17
3636190,kilobit per second{=kbps},每秒千位元數,,,2018-12-17
3636191,kilobyte{=kB},千位元組,,,2018-12-17
3636192,knapsack problem,背包問題,,,2018-12-17
3636193,L1/L2/L3 cache memory,1 階 / 2 階 / 3 階快取記憶體,,,2018-12-17
3636194,large scale integrated circuit{=LSI},大型積體電路,,,2018-12-17
3636195,Larry Page,賴利佩吉,,,2018-12-17
3636196,laser printer,雷射列印機,,,2018-12-17
3636197,"last in, first out{=LIFO}",後進先出,,,2018-12-17
3636198,lateral thinking,橫向思維；水平思考,,,2018-12-17
3636199,LCD projector,液晶顯示投影機,,,2018-12-17
3636200,lens,透鏡,,,2018-12-17
3636201,light emitting diode{=LED},發光二極體,,,2018-12-17
3636202,link layer,鏈路層,,,2018-12-17
3636203,linked allocation,鏈接配置,,,2019-05-28
3636204,Linux,Linux 作業系統,,,2018-12-17
3636205,liquid crystal display{=LCD},液晶顯示器,,,2018-12-17
3636206,local area network{=LAN},區域網路,,,2018-12-17
3636207,logic bomb,邏輯炸彈,,,2018-12-17
3636208,logic gate,邏輯閘,,,2018-12-17
3636209,logical block addressing{=LBA},邏輯區塊定址,,,2018-12-17
3636210,logical error,邏輯錯誤,,,2018-12-17
3636211,logical thinking,邏輯思考,,,2018-12-17
3636212,login,登入,,,2018-12-17
3636213,long integer,長整數,,,2018-12-17
